time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,accel_x_m_s2_for_velocity,accel_x_bias_correction_m_s2,accel_z_m_s2_for_velocity,spin_window_flag,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,accel_z_raw_m_s2,vel_x_simple_m_s,vel_y_simple_m_s,vel_z_simple_m_s,vel_simple_mag_m_s,jerk_excess_g_per_s
66.644,-137.2,69.7,-91.3,-0.55,0.52,-0.47,0.037,0.0,0.8909545442950499,0.10904545570495006,178.9346808195661,-5.3936575,5.099458,-14.415775499999999,-0.7981951424399032,-4.595462357560097,-14.415775499999999,False,332.21314224516266,4.027591154999159,-683.4788847424597,759.9507742345638,-4.609125499999999,212.5243251425083,4.027591154999159,-10.056229242504166,212.8002302967932,4.421981635317362
66.646,-138.2,69.4,-90.6,-0.53,0.57,-0.42,0.034,0.0,0.884420714366189,0.11557928563381104,179.23158203843428,-5.1975245,5.589790499999999,-13.925442999999998,-0.6020621424399035,-4.595462357560097,-13.925442999999998,False,332.21174198787776,4.038280403499135,-683.5072259609597,759.9757082723658,-4.118792999999999,212.51373396050832,4.038280403499135,-10.064957161004147,212.79026808834055,0.43535224736564615
66.648,-138.8,69.6,-90.2,-0.53,0.57,-0.43,0.034,0.0,0.8892131353055914,0.11078686469440857,179.57071030655305,-5.1975245,5.589790499999999,-14.0235095,-0.6020621424399035,-4.595462357560097,-14.0235095,False,332.2105378635929,4.049459984499109,-683.5351749134596,760.0003782484306,-4.2168595,212.50333891150834,4.049459984499109,-10.073292813504127,212.78049347346675,-7.0532093760682955
66.65,-140.2,69.6,-89.4,-0.52,0.6,-0.45,0.034,0.0,0.912633551870629,0.087366448129371,180.2569277448165,-5.099458,5.88399,-14.219642499999999,-0.5039956424399037,-4.595462357560097,-14.219642499999999,False,332.209431805808,4.060933764999163,-683.5634180654598,760.0253576566482,-4.4129925,212.49304192900829,4.060933764999163,-10.081922665504168,212.77083732485568,-6.30664596664268
66.652,-140.6,69.5,-88.4,-0.53,0.57,-0.48,0.034,0.0,0.9144397191723466,0.08556028082765343,180.0365796164768,-5.1975245,5.589790499999999,-14.513841999999999,-0.6020621424399035,-4.595462357560097,-14.513841999999999,False,332.2083257480231,4.072407545499137,-683.5921515499598,760.0507784748494,-4.707191999999999,212.48274494650832,4.072407545499137,-10.091042850004147,212.76120546053542,-1.6921069197843615
66.654,-141.4,69.4,-87.9,-0.54,0.56,-0.49,0.034,0.0,0.9194019795497507,0.08059802045024933,180.3794056981007,-5.295591,5.4917240000000005,-14.611908499999998,-0.7001286424399034,-4.595462357560097,-14.611908499999998,False,332.20702355723824,4.083489059999111,-683.6212773004597,760.0764646807417,-4.8052585,212.47225183100835,4.083489059999111,-10.100555300504125,212.75138988599136,0.21881788194222906
66.656,-142.1,69.3,-87.2,-0.53,0.56,-0.49,0.037,0.0,0.9135644476444998,0.08643555235550016,180.5512115716757,-5.1975245,5.4917240000000005,-14.611908499999998,-0.6020621424399035,-4.595462357560097,-14.611908499999998,False,332.20572136645336,4.094472507999163,-683.6505011174598,760.1022389730729,-4.8052585,212.4617587155083,4.094472507999163,-10.110165817504171,212.74157815166987,5.95040556187795
66.658,-142.8,69.7,-87.0,-0.54,0.52,-0.49,0.035,0.0,0.8956003573022959,0.10439964269770408,181.1599569441327,-5.295591,5.099458,-14.611908499999998,-0.7001286424399034,-4.595462357560097,-14.611908499999998,False,332.2044191756685,4.105063689999138,-683.6797249344597,760.128011557396,-4.8052585,212.45126560000833,4.105063689999138,-10.119776334504149,212.73175991375763,2.974830334134893
66.66,-143.7,70.4,-86.2,-0.55,0.52,-0.49,0.036,0.0,0.901665126307988,0.09833487369201199,181.75887873773868,-5.3936575,5.099458,-14.611908499999998,-0.7981951424399032,-4.595462357560097,-14.611908499999998,False,332.2029208518836,4.115262605999114,-683.7089487514596,760.153696703282,-4.8052585,212.44057635150835,4.115262605999114,-10.129386851504126,212.7217392389993,2.5265362529026056
66.662,-144.1,70.6,-86.0,-0.56,0.49,-0.48,0.033,0.0,0.8854942122905152,0.11450578770948483,182.0581500510208,-5.4917240000000005,4.8052585,-14.513841999999999,-0.8962616424399039,-4.595462357560097,-14.513841999999999,False,332.20122639509873,4.125167322499162,-683.7380745019598,760.179206731869,-4.707191999999999,212.4296909700083,4.125167322499162,-10.138899302004171,212.71151329936993,1.2372236790245168
