time_s,altitude_agl_ft,altitude_agl_smooth_ft,descent_rate_from_alt_ft_s,descent_rate_smoothed_ft_s,descent_rate_time_smoothed_ft_s,velocity_up_ft_s,time_plot_descent_rate_ft_s,time_plot_descent_rate_smoothed_ft_s
-1.94,4.2,-0.4274509803921568,3.435143288084463,,,0.0,3.435143288084463,
-1.92,4.2,-0.4961538461538461,1.1533481317055116,,,0.0,1.1533481317055116,
-1.9,-1.7,-0.4735849056603773,,,,0.0,,
-1.88,-2.3,-0.4407407407407407,,,,0.0,,
-1.86,0.7,-0.4418181818181818,0.052910052910050354,,,0.0,0.052910052910050354,
-1.84,1.3,-0.4428571428571428,0.5773524720893146,,,0.0,0.5773524720893146,
-1.82,2.4,-0.4649122807017544,1.083743842364532,,,0.0,1.083743842364532,
-1.8,2.4,-0.4862068965517241,0.5382099316086837,,,0.0,0.5382099316086837,
-1.78,-0.5,-0.4864406779661017,0.011494252873562871,,,0.0,0.011494252873562871,
-1.76,-0.5,-0.48666666666666664,,,,0.0,,
-1.74,-2.3,-0.45737704918032784,,,,0.0,,
-1.72,-2.3,-0.43870967741935485,,,,0.0,,
-1.7,2.4,-0.42063492063492064,,,,0.0,,
-1.68,2.4,-0.40312499999999996,0.9456654456654441,,,0.0,0.9456654456654441,
-1.66,-4.0,-0.4584615384615384,2.724905303030301,,,0.0,2.724905303030301,
-1.64,-3.4,-0.5121212121212121,1.5608495981630277,,,0.0,1.5608495981630277,
-1.62,-2.3,-0.5208955223880597,0.21167557932264103,,,0.0,0.21167557932264103,
-1.6,-1.7,-0.5205882352941176,,,,0.0,,
-1.58,-0.5,-0.4782608695652174,,,,0.0,,
-1.56,-0.5,-0.4371428571428571,,,,0.0,,
-1.54,0.7,-0.38028169014084506,,,,0.0,,
-1.52,1.3,-0.32499999999999996,,,,0.0,,
-1.5,1.3,-0.31095890410958904,,,,0.0,,
-1.48,1.3,-0.2972972972972973,,,,0.0,,
-1.46,-0.5,-0.28400000000000003,,,,0.0,,
-1.44,-1.1,-0.2710526315789473,,,,0.0,,
-1.42,-2.3,-0.2584415584415584,,,,0.0,,
-1.4,-2.3,-0.24615384615384614,,,,0.0,,
-1.38,2.4,-0.23417721518987342,,,,0.0,,
-1.36,2.4,-0.2225,,,,0.0,,
-1.34,-2.3,-0.22592592592592595,0.3521341463414629,,,0.0,0.3521341463414629,
-1.32,-2.3,-0.23658536585365852,,,,0.0,,
-1.3,-1.1,-0.2253012048192771,,,,0.0,,
-1.28,-0.5,-0.21428571428571427,0.33805811481219017,,,0.0,0.33805811481219017,
-1.26,-0.5,-0.2388235294117647,1.2126245847176067,,,0.0,1.2126245847176067,
-1.24,-0.5,-0.2627906976744186,0.32251521298174435,,,0.0,0.32251521298174435,
-1.22,0.7,-0.2517241379310345,,,,0.0,,
-1.2,0.7,-0.2409090909090909,,,,0.0,,
-1.18,-2.3,-0.250561797752809,0.31060606060606144,,,0.0,0.31060606060606144,
-1.16,-2.3,-0.25333333333333335,0.13705395727867575,,,0.0,0.13705395727867575,
-1.14,-1.1,-0.2560439560439561,0.29710144927536497,,,0.0,0.29710144927536497,
-1.12,-1.1,-0.2652173913043478,6.4483634644924575,,,0.0,6.4483634644924575,
-1.1,-2.3,-0.5139784946236559,12.305735430157249,,,0.0,12.305735430157249,
-1.08,-2.3,-0.7574468085106382,,,,0.0,,
-1.06,-1.1,-0.48947368421052634,,,,0.0,,
-1.04,-1.1,-0.2270833333333333,,,,0.0,,
-1.02,-1.1,-0.030927835051546355,,,,0.0,,
-1.0,-0.5,0.1612244897959184,,,,0.0,,
-0.98,1.3,0.24343434343434348,,,,0.0,,
-0.96,0.7,0.32400000000000007,,,,0.0,,
-0.94,-4.0,0.5188118811881188,,,,0.0,,
-0.92,-4.0,0.6752475247524753,,,,0.0,,
-0.9,0.7,0.8148514851485148,,,,0.0,,
-0.88,1.3,1.0178217821782178,,,,0.0,,
-0.86,-0.5,1.1396039603960395,,,,0.0,,
-0.84,-0.5,1.2316831683168317,,,,0.0,,
-0.82,-1.7,1.404950495049505,,,,0.0,,
-0.8,-1.7,1.5623762376237624,,,,0.0,,
-0.78,-0.5,1.9108910891089113,,,,0.0,,
-0.76,-0.5,2.2881188118811884,,,,0.0,,
-0.74,1.3,2.6079207920792085,,,,0.0,,
-0.72,0.7,2.945544554455446,,,,0.0,,
-0.7,0.7,3.4455445544554455,,,,0.0,,
-0.68,0.7,3.899009900990099,,,,0.0,,
-0.66,-4.0,4.514851485148514,,,,0.0,,
-0.64,-4.0,5.2,,,,0.0,,
-0.62,-1.1,5.954455445544554,,,,0.0,,
-0.6,-0.5,6.693069306930693,,,,0.0,,
-0.58,2.4,7.512871287128712,,,,0.0,,
-0.56,2.4,8.326732673267326,,,,0.0,,
-0.54,3.6,9.314851485148514,,,,0.0,,
-0.52,3.6,10.29108910891089,,,,0.0,,
-0.5,0.7,11.5,,,,0.0,,
-0.48,0.7,12.702970297029703,,,,0.0,,
-0.46,0.7,14.12772277227723,,,,0.0,,
-0.44,0.7,15.57029702970297,,,,0.0,,
-0.42,0.7,17.315841584158417,,,,0.0,,
-0.4,0.7,19.07920792079208,,,,0.0,,
-0.38,0.7,21.094059405940595,,,,0.0,,
-0.36,0.7,23.06237623762376,,,,0.0,,
-0.34,-0.5,25.32871287128713,,,,0.0,,
-0.32,-1.1,27.635643564356435,,,,0.0,,
-0.3,0.7,30.1990099009901,,,,0.0,,
-0.28,0.7,32.750495049504956,,,,0.0,,
-0.26,-2.3,35.54851485148515,,,,0.0,,
-0.24,-2.3,38.34653465346535,,,,0.0,,
-0.22,0.7,41.38415841584158,,,,0.0,,
-0.2,0.7,44.40990099009902,,,,0.0,,
-0.18,-1.1,47.61089108910892,,,,0.0,,
-0.16,-0.5,50.84158415841584,,,,0.0,,
-0.14,-0.5,54.28415841584158,,,,0.0,,
-0.12,-1.1,57.714851485148515,,,,0.0,,
-0.1,-23.4,61.298019801980196,,,,9.0,,
-0.08,-23.4,64.8930693069307,,,,18.0,,
-0.06,24.7,68.6990099009901,,,,27.0,,
-0.04,24.7,72.4871287128713,,,,36.0,,
-0.02,18.8,76.51584158415842,,,,45.0,,
0.0,18.8,80.54455445544555,,,,55.0,,
0.02,8.3,84.83762376237624,,,,65.0,,
0.04,8.3,89.11287128712871,,,,74.0,,
0.06,20.0,93.77128712871287,,,,85.0,,
0.08,20.0,98.47029702970298,,,,95.0,,
0.1,18.3,103.4871287128713,,,,104.0,,
0.12,18.8,108.45742574257424,,,,115.0,,
0.14,10.0,113.85742574257426,,,,125.0,,
0.16,10.0,119.27524752475249,,,,135.0,,
0.18,18.8,125.06534653465347,,,,146.0,,
0.2,18.3,130.86732673267326,,,,157.0,,
0.22,37.6,137.1069306930693,,,,167.0,,
0.24,37.6,143.34059405940593,,,,178.0,,
0.26,31.8,149.9940594059406,,,,189.0,,
0.28,31.8,156.62970297029705,,,,200.0,,
0.3,48.2,163.73960396039604,,,,211.0,,
0.32,48.2,170.84356435643565,,,,222.0,,
0.34,64.6,178.37425742574257,,,,233.0,,
0.36,65.2,185.95148514851485,,,,244.0,,
0.38,72.8,193.99801980198018,,,,255.0,,
0.4,72.3,202.01584158415844,,,,267.0,,
0.42,81.1,210.46831683168315,,,,278.0,,
0.44,81.7,218.89207920792077,,,,289.0,,
0.46,99.3,227.750495049505,,,,301.0,,
0.48,99.3,236.5970297029703,,,,312.0,,
0.5,123.4,245.98019801980197,,,,324.0,,
0.52,122.8,255.39207920792077,,,,336.0,,
0.54,145.2,265.2405940594059,,,,348.0,,
0.56,145.2,275.08910891089107,,,,359.0,,
0.58,175.2,285.48811881188124,,,,371.0,,
0.6,175.8,295.8871287128713,,,,383.0,,
0.62,201.2,306.7891089108911,,,,395.0,,
0.64,201.2,317.6910891089109,,,,407.0,,
0.66,231.3,329.18811881188117,,,,419.0,,
