altitude_bin_ft,altitude_agl_ft,descent_rate_ft_s,sample_count,descent_rate_profile_ft_s
23250.0,23228.59801980198,53.203619542281665,159,143.42162824068012
23000.0,22987.487623762376,94.57068657684599,148,147.43078310840207
22750.0,22790.011881188122,159.4582477115679,117,149.83627602903525
22500.0,22503.69702970297,199.22861548450004,61,156.32503214250744
22250.0,22278.808910891086,173.06037980847282,69,157.37714173020632
22000.0,22013.58415841584,128.1260920209632,113,157.50326383551078
21750.0,21738.00396039604,164.71879565006228,73,151.23683269738981
21500.0,21532.697524752475,105.88682843693418,120,148.2297392336338
21250.0,21248.721782178218,144.42278039278787,94,137.5154553787071
21000.0,21010.269306930695,171.7748742087355,63,130.5673949988971
20750.0,20763.7,102.28574906671076,129,127.67853767054198
20500.0,20510.515346534652,102.87711124053435,120,122.62874151445621
20250.0,20270.727227722775,157.07372991397278,76,116.95819290221941
20000.0,19988.07524752475,98.24440025969706,124,119.9603435271202
19750.0,19739.138613861385,129.97849375101237,95,118.12172155016974
19500.0,19514.647524752476,153.68040902450772,79,116.2830995732193
19250.0,19285.59504950495,82.76767556815608,168,119.86475409836446
19000.0,19005.75841584158,116.07003733160387,111,120.1309446518464
18750.0,18751.39702970297,120.897581561438,105,120.10850511281083
18500.0,18502.6297029703,120.78538386626016,102,120.10850511281083
18250.0,18252.236633663364,117.4009900990135,107,120.10850511281083
18000.0,18006.434158415843,126.0122139263086,100,119.43162635936149
17750.0,17740.754455445545,115.63666612562842,105,121.15387112482051
17500.0,17515.402970297033,131.74728128550666,97,120.12412757669418
17250.0,17241.48316831683,115.59892874533124,107,120.5745820483692
17000.0,17002.903960396037,129.07360818049563,97,120.62518260022595
16750.0,16749.895544554456,112.93722609966443,112,121.35266190553207
16500.0,16492.894059405942,129.5662230157511,97,120.35789644537917
16250.0,16259.041089108912,114.57535302711003,106,121.4382405453623
16000.0,15992.750495049506,123.03765622463524,101,121.03838662554406
15750.0,15757.430693069307,121.03838662554406,107,121.03838662554406
15500.0,15490.031683168316,113.68649569874988,109,121.03838662554406
15250.0,15257.405940594057,125.45508034410076,100,119.56800844018524
15000.0,14995.571287128712,108.12286966401686,113,118.16458367148059
14750.0,14755.813861386137,127.16868203214119,100,116.76115890277595
14500.0,14498.826237623762,112.91166206784393,112,115.35773413407131
14250.0,14243.349504950496,127.64161662068733,97,113.95430936536668
14000.0,14011.148514851486,111.84304496023773,111,114.02126278202087
13750.0,13743.788118811883,114.02126278202087,109,114.02126278202087
13500.0,13502.351485148514,120.89879889629178,105,114.46453497809114
13250.0,13249.036633663365,113.01574419737511,111,114.90780717416143
13000.0,12995.64306930693,120.95215874046544,102,114.70670345723227
12750.0,12754.18811881188,112.79459503327867,111,115.14997565330256
12500.0,12496.657920792079,116.23762376237227,108,114.9046421035541
12250.0,12247.997029702972,117.28656062326627,105,114.4397825028419
12000.0,12002.678712871286,111.07896445382083,112,113.89206297679138
11750.0,11741.717821782178,111.47500405778257,111,113.9887193637403
11500.0,11501.607920792077,118.77333225125398,105,113.52385976302807
11250.0,11256.053960396039,112.54341827625252,112,113.74760590813457
11000.0,10996.832673267327,113.91332575881121,107,113.66474598279629
10750.0,10751.626732673269,113.49902613211965,109,113.66474598279629
10500.0,10507.044554455446,116.26602824216519,109,113.51671806524973
10250.0,10249.052970297029,116.91080993344266,108,113.28583022236486
10000.0,10004.142574257425,107.91470540496502,116,113.05494237948002
9750.0,9749.080198019801,112.75888654438694,112,112.90691446193348
9500.0,9501.649504950496,112.61118324947844,109,112.75888654438694
9250.0,9244.280198019802,111.07157590757998,116,112.88591108817761
9000.0,9003.875247524753,124.82145755559031,98,114.95939753518408
8750.0,8742.250495049506,132.3791743581133,97,117.37191173742474
8500.0,8529.15594059406,113.3940092633403,116,119.44539818443123
8250.0,8219.508415841585,106.47089380362358,124,121.51888463143769
8000.0,7995.171782178218,123.12631877941928,108,124.57543835455685
7750.0,7770.99900990099,155.08196721311333,76,127.20475989326823
7500.0,7531.384158415841,160.2759292322687,83,129.4950536767454
7250.0,7200.039603960396,113.97419250121656,133,132.1243752154568
7000.0,7012.061386138614,158.99569875020038,71,134.7536967541682
6750.0,6772.3633663366345,128.6767778789361,126,136.27292647297622
6500.0,6480.727722772277,136.27292647297622,91,134.75369675416817
6250.0,6246.672772277228,109.24078883297959,112,134.75369675416817
6000.0,6016.70792079208,164.44225775036693,74,133.4587465897527
5750.0,5755.134653465347,159.0472325921091,81,138.01360781357926
5500.0,5472.717821782178,90.87039441649314,137,136.71865764916376
5250.0,5292.8123762376235,115.40882161987176,92,136.94293720355626
5000.0,5009.218316831683,198.206257101122,64,135.64798703914076
4750.0,4786.622772277227,129.79817565089868,106,139.0257159732365
4500.0,4448.905445544555,192.23502678136612,86,133.17590458499438
4250.0,4301.268811881188,123.57145755559306,98,131.9305609659333
4000.0,3997.9579207920797,198.93016555754087,64,130.68521734687218
3750.0,3796.977227722772,101.89952267773258,156,128.37872294060043
3500.0,3520.0752475247527,146.68682032137735,82,122.69449960023299
3250.0,3242.869306930693,112.70654114591865,95,120.38800519396125
3000.0,3014.3044554455446,113.07478493751174,110,119.32685440675064
2750.0,2735.9168316831683,130.10726072607213,107,118.28140723908275
2500.0,2466.3257425742577,118.26570361954003,122,118.29711085862546
2250.0,2253.2960396039607,137.35473137477712,91,118.29711085862547
2000.0,1979.018811881188,103.7721149164101,103,115.39839311799946
1750.0,1786.15099009901,118.34422171725362,108,94.24853919818179
1500.0,1484.9470297029702,198.676554130824,62,73.08298165882137
1250.0,1228.1059405940593,11.362197695178976,907,51.917424119460954
1000.0,999.6128712871287,11.916896607693175,1051,30.734884758968015
750.0,751.4000000000001,12.516434020451538,1000,12.4837485797763
500.0,499.7277227722772,12.18957961369916,1033,12.579735432559954
250.0,245.4371287128713,13.94396201915209,886,12.595560785587057
0.0,85.04653465346536,13.476302548288075,277,12.621936373965562
